content,content_clean,content_preprocessing,polarity_score,polarity
"Sudah oke. Namun masih bug. Bug nya adalah: saya login sbg dosen. Lalu create schedulled meeting room utk sabtu jam 16.00. Meeting singkron dgn google kalendar, tapi schedule di kalendar nya malah muncul untuk hari ini jam 16.00.",sudah oke namun masih bug bug nya adalah saya login sbg dosen lalu create schedulled meeting room utk sabtu jam  meeting singkron dgn google kalendar tapi schedule di kalendar nya malah muncul untuk hari ini jam,"['oke', 'bug', 'bug', 'nya', 'login', 'sbg', 'dosen', 'lalu', 'create', 'schedulled', 'meeting', 'room', 'utk', 'sabtu', 'jam', 'meeting', 'singkron', 'dgn', 'google', 'kalendar', 'schedule', 'kalendar', 'nya', 'malah', 'muncul', 'hari', 'jam']",3,positive
ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req RT ya rabb eeee eeeeeeeeeeeeertrre errr error Ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya,ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req ya rabb eeee eeeeeeeeeeeeertrre errr error ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya,"['ga', 'yg', 'bantu', 'no', 'mt', 'tepatin', 'eeee', 'req', 'rabb', 'eeee', 'eeeeeeeeeeeeertrre', 'errr', 'error', 'ree', 'rumah', 'sakit', 'te', 'rezeki', 'benar', 'r', 'by', 'the', 'way', 'you', 'ewh', 'ee', 'nakal']",-12,negative
Very Good,very good,"['very', 'good']",5,positive
Hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kak??minta bantuannya kak🙏🙏,hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kakminta bantuannya kak,"['hallo', 'kak', 'punya', 'ni', 'buka', 'kendala', 'apa', 'yah', 'kakminta', 'bantu', 'kak']",3,positive
Perbaiki bug tiba tiba tidak bisa mengunduh dan Untuk presensi QR Barcode/absensi Adakan fitur ambil gambar dari galeri,perbaiki bug tiba tiba tidak bisa mengunduh dan untuk presensi qr barcodeabsensi adakan fitur ambil gambar dari galeri,"['baik', 'bug', 'tiba', 'tiba', 'unduh', 'presensi', 'qr', 'barcodeabsensi', 'adakan', 'fitur', 'ambil', 'gambar', 'galeri']",-4,negative
"Padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut, ganggu",padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut ganggu,"['padahal', 'postingan', 'dosen', 'kok', 'kirim', 'notif', 'mahasiswa', 'tanggap', 'postingan', 'sebut', 'ganggu']",1,positive
TAMBAHKAN FITUR ZOOM UNTUK ABSENSI TOLONGGGG DI PRESENSI QR AGAR SAAT ABSEN TIAK HARUS KEDEPAN,tambahkan fitur zoom untuk absensi tolongggg di presensi qr agar saat absen tiak harus kedepan,"['tambah', 'fitur', 'zoom', 'absensi', 'tolongggg', 'presensi', 'qr', 'absen', 'tiak', 'depan']",0,negative
"Kok selalu jaringan bermasalah ya? Padahal jaringan saya lancar, jadi saya tidak mengumpul tugas dengan tepat waktu. Mohon perbaiki lagi apknya.",kok selalu jaringan bermasalah ya padahal jaringan saya lancar jadi saya tidak mengumpul tugas dengan tepat waktu mohon perbaiki lagi apknya,"['kok', 'selalu', 'jaring', 'masalah', 'padahal', 'jaring', 'lancar', 'jadi', 'kumpul', 'tugas', 'tepat', 'waktu', 'mohon', 'baik', 'apknya']",4,positive
"Kok gak bisa ke buka aplikasi, katanya ""gak ada koneksi internet"" padahal udah forji jaringannya",kok gak bisa ke buka aplikasi katanya gak ada koneksi internet padahal udah forji jaringannya,"['kok', 'gak', 'buka', 'aplikasi', 'kata', 'gak', 'koneksi', 'internet', 'padahal', 'udah', 'forji', 'jaring']",-4,negative
"Udah hadir 3 pertemuan scane code tetep keterangan nya 0 0 0 0 Terus notif telat muncul, jadwal ngaco dll Apk ini masih prematur udah launching jadi gini dah, bukanya mempermudah malah ribet",udah hadir  pertemuan scane code tetep keterangan nya     terus notif telat muncul jadwal ngaco dll apk ini masih prematur udah launching jadi gini dah bukanya mempermudah malah ribet,"['udah', 'hadir', 'temu', 'scane', 'code', 'tetep', 'terang', 'nya', 'terus', 'notif', 'telat', 'muncul', 'jadwal', 'ngaco', 'apk', 'prematur', 'udah', 'launching', 'jadi', 'gin', 'dah', 'buka', 'mudah', 'malah', 'ribet']",-12,negative
"Kok gini amat apkx,,masalah koneksi truss pdahl jriganku bgus lo",kok gini amat apkxmasalah koneksi truss pdahl jriganku bgus lo,"['kok', 'gin', 'apkxmasalah', 'koneksi', 'truss', 'pdahl', 'jriganku', 'bgus', 'lo']",-2,negative
"Halo! Saya mau bertanya, kenapa jadwal di kalender edlink saya gak muncul ya? jadi kalo mau liat jadwal keseluruhan susah, mohon tanggapannya.",halo saya mau bertanya kenapa jadwal di kalender edlink saya gak muncul ya jadi kalo mau liat jadwal keseluruhan susah mohon tanggapannya,"['halo', 'mau', 'tanya', 'jadwal', 'kalender', 'edlink', 'gak', 'muncul', 'jadi', 'kalo', 'mau', 'liat', 'jadwal', 'seluruh', 'susah', 'mohon', 'tanggap']",7,positive
"Ini gimana ya? Makin jelek edlink skrng, pdhl kemarin sudah membayar di bank, tpi keterangan transaksi belum berhasil",ini gimana ya makin jelek edlink skrng pdhl kemarin sudah membayar di bank tpi keterangan transaksi belum berhasil,"['gimana', 'makin', 'jelek', 'edlink', 'skrng', 'pdhl', 'kemarin', 'bayar', 'bank', 'tpi', 'terang', 'transaksi', 'hasil']",1,positive
"Harusnya yaaa setelah pemeliharaan sistem ituuu, aplikasinya semakin bagus tapi ini enggak Malah ngedown dan error' yang merugikan penggunanya Udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect Ini gimana yaaa sistemnya, kalau bisa bikin aplikasi jangan merugikan penggunanya",harusnya yaaa setelah pemeliharaan sistem ituuu aplikasinya semakin bagus tapi ini enggak malah ngedown dan error yang merugikan penggunanya udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect ini gimana yaaa sistemnya kalau bisa bikin aplikasi jangan merugikan penggunanya,"['harus', 'yaaa', 'pelihara', 'sistem', 'ituuu', 'aplikasi', 'makin', 'bagus', 'enggak', 'malah', 'ngedown', 'error', 'rugi', 'guna', 'udah', 'mbayar', 'tagih', 'sesuai', 'tentu', 'nomer', 'tuju', 'kirim', 'benar', 'aplikasi', 'malah', 'ga', 'detect', 'gimana', 'yaaa', 'sistem', 'kalau', 'bikin', 'aplikasi', 'jangan', 'rugi', 'guna']",-43,negative
"Tingkatkan lagi, jangan ad masalah lagi👌👌",tingkatkan lagi jangan ad masalah lagi,"['tingkat', 'jangan', 'ad', 'masalah']",-6,negative
nyusahin,nyusahin,['nyusahin'],0,negative
"Tidak bisa buka aplikasi. ""Masalah koneksi tidak terhubung ke internet"". Padahal kuota internet masih ada. Sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama. Apa sedang ada gangguan server/bagaimana?",tidak bisa buka aplikasi masalah koneksi tidak terhubung ke internet padahal kuota internet masih ada sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama apa sedang ada gangguan serverbagaimana,"['buka', 'aplikasi', 'masalah', 'koneksi', 'hubung', 'internet', 'padahal', 'kuota', 'internet', 'coba', 'buka', 'perangkat', 'yg', 'beda', 'hasil', 'tetap', 'sama', 'apa', 'sedang', 'ganggu', 'serverbagaimana']",-13,negative
"Kenapa saya sering dapat gangguan jaringan min, aplikasinya gk bisa dibuka",kenapa saya sering dapat gangguan jaringan min aplikasinya gk bisa dibuka,"['sering', 'ganggu', 'jaring', 'min', 'aplikasi', 'gk', 'buka']",-2,negative
"ini servernya yg eror atau bagaimana? pas buka aplikasi loading mulu. katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom, zoom, dll aman aman aja.",ini servernya yg eror atau bagaimana pas buka aplikasi loading mulu katanya gk ada jaringan padahal buat buka aplikasi seperti google classroom zoom dll aman aman aja,"['servernya', 'yg', 'eror', 'bagaimana', 'pas', 'buka', 'aplikasi', 'loading', 'mulu', 'kata', 'gk', 'jaring', 'padahal', 'buat', 'buka', 'aplikasi', 'google', 'classroom', 'zoom', 'aman', 'aman', 'aja']",-4,negative
"tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk, saya punya tugas deadline nya soreee! tolong diperbaiki secepatnyaaaa",tolong dong ini edlink dari tdi saya login tapi tidak bisa masuk saya punya tugas deadline nya soreee tolong diperbaiki secepatnyaaaa,"['dong', 'edlink', 'tdi', 'login', 'masuk', 'punya', 'tugas', 'deadline', 'nya', 'soreee', 'baik', 'secepatnyaaaa']",1,positive
Maaf min knpa notif tugas nya masuk setelah 20 mnit.... Kan jdi telat masuk klas nya Mohon di perbaiki,maaf min knpa notif tugas nya masuk setelah  mnit kan jdi telat masuk klas nya mohon di perbaiki,"['maaf', 'min', 'knpa', 'notif', 'tugas', 'nya', 'masuk', 'mnit', 'kan', 'jdi', 'telat', 'masuk', 'klas', 'nya', 'mohon', 'baik']",-11,negative
apk rusakkkk,apk rusakkkk,"['apk', 'rusakkkk']",0,negative
Edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya,edlink saya error terus gak muncul jadwal di kalender nya gk muncul pembayaran kenapa ya aneh 🤔 jadi suka lupa kalo gak muncul jadwal nya,"['edlink', 'error', 'terus', 'gak', 'muncul', 'jadwal', 'kalender', 'nya', 'gk', 'muncul', 'bayar', 'aneh', '', 'jadi', 'suka', 'lupa', 'kalo', 'gak', 'muncul', 'jadwal', 'nya']",-14,negative
"masih ada bug, suka keluar sendiri",masih ada bug suka keluar sendiri,"['bug', 'suka', 'keluar', 'sendiri']",-4,negative
Bagus,bagus,['bagus'],-2,negative
Sangat membantu.. 😍,sangat membantu,"['sangat', 'bantu']",-3,negative
Keren,keren,['keren'],0,negative
Dipakenya jadi enggak jelas kaya dulu,dipakenya jadi enggak jelas kaya dulu,"['dipakenya', 'jadi', 'enggak', 'jelas', 'kaya', 'dulu']",-3,negative
tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya 0 semua. Sudah saya unistall dan reinstall tapi masih begitu 🥲,tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya  semua sudah saya unistall dan reinstall tapi masih begitu 🥲,"['bagi', 'absensi', 'baik', 'dong', 'padahal', 'masuk', 'kelas', 'terus', 'absen', 'selalu', 'ditick', 'dosen', 'hadir', 'semua', 'unistall', 'reinstall', '']",-13,negative
Selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,"['selalu', 'ngelag', 'aplikasi', 'nya', 'saat', 'tugas', 'kerja', 'langsung', 'masuk', 'delay', 'beberapa', 'hari']",-6,negative
"Saran, Tambahkan fitur zoom in/out, saat Presensi QR!",saran tambahkan fitur zoom inout saat presensi qr,"['saran', 'tambah', 'fitur', 'zoom', 'inout', 'presensi', 'qr']",2,positive
Apk ini sangat membantu para maha siswa stikes panti rapih Yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi 🙏,apk ini sangat membantu para maha siswa stikes panti rapih yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi,"['apk', 'sangat', 'bantu', 'maha', 'siswa', 'stikes', 'panti', 'rapih', 'yogyakarta', 'memgakses', 'materi', 'mata', 'kuliah', 'banyak']",3,positive
Absensi edlink nya selalu bermasalah,absensi edlink nya selalu bermasalah,"['absensi', 'edlink', 'nya', 'selalu', 'masalah']",-4,negative
"Masih kurang sinkron dengan SIADIKNONA kampus, ada beberapa kelas yang tidak muncul, nilai di KHS/KRS juga.",masih kurang sinkron dengan siadiknona kampus ada beberapa kelas yang tidak muncul nilai di khskrs juga,"['kurang', 'sinkron', 'siadiknona', 'kampus', 'beberapa', 'kelas', 'muncul', 'nilai', 'khskrs']",-2,negative
Min kenapa saat login tidak bisa. Pke akun google. Padahal dulu pernah. Tp saat instal ulang dan login ulang jdi tdk bisa masuk....,min kenapa saat login tidak bisa pke akun google padahal dulu pernah tp saat instal ulang dan login ulang jdi tdk bisa masuk,"['min', 'login', 'pke', 'akun', 'google', 'padahal', 'dulu', 'pernah', 'tp', 'instal', 'ulang', 'login', 'ulang', 'jdi', 'tdk', 'masuk']",-3,negative
"Gabisa ubah profil aneh bgt, pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas",gabisa ubah profil aneh bgt pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas,"['gabisa', 'ubah', 'profil', 'aneh', 'bgt', 'pdhl', 'penting', 'buat', 'nandain', 'orang', 'dlm', 'bukti', 'kirim', 'tugas']",-2,negative
"Kenapa edlink suka tibatiba ke log out sendirii, dan tibatiba ngga bisa absen jugaa:))))))",kenapa edlink suka tibatiba ke log out sendirii dan tibatiba ngga bisa absen jugaa,"['edlink', 'suka', 'tibatiba', 'log', 'out', 'sendiri', 'tibatiba', 'ngga', 'absen', 'jugaa']",-6,negative
Tiba tiba EdLink saya error,tiba tiba edlink saya error,"['tiba', 'tiba', 'edlink', 'error']",-5,negative
Semenjak di update gak bisa log in terus padahal email sudah benar...,semenjak di update gak bisa log in terus padahal email sudah benar,"['semenjak', 'update', 'gak', 'log', 'in', 'terus', 'padahal', 'email', 'benar']",-2,negative
EdLink saya tidak bisa login/ dibuka,edlink saya tidak bisa login dibuka,"['edlink', 'login', 'buka']",0,negative
Tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya 1 dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu,tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya  dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu,"['dong', 'presensi', 'buat', 'ambil', 'kode', 'barcode', 'lewat', 'foto', 'simpan', 'kalau', 'fitur', 'jadi', 'sulit', 'hp', 'ada', 'sedang', 'sendiri', 'jalan', 'buat', 'fitur']",-13,negative
shifa,shifa,['shifa'],0,negative
"maaf saya tarik kembali bintang satunya, maaf ya, tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama, mamaku bilang kalau kita harus jujur, terimakasih atas aplikasinya",maaf saya tarik kembali bintang satunya maaf ya tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama mamaku bilang kalau kita harus jujur terimakasih atas aplikasinya,"['maaf', 'tarik', 'bintang', 'satu', 'maaf', 'tugas', 'lihat', 'tadi', 'padahal', 'loadingnya', 'lama', 'mama', 'bilang', 'kalau', 'jujur', 'terimakasih', 'atas', 'aplikasi']",3,positive
kata nuri bagus dan membantu pembelajaran,kata nuri bagus dan membantu pembelajaran,"['kata', 'nuri', 'bagus', 'bantu', 'ajar']",-3,negative
"aplikasi makin aneh, mau bayar lewat mandiri pun gak bisa, pass di TF muncul tulisan, maaf rekening ini tidak di temukan, trus satu lagi, kok tagihan SPP jadi doubel, padahal pas liat beberapa hari yang lalu gak gitu, kalo satunya buat semseter 4 sangat tidak logis, baru aja masuk semseter 3 masa udah ada tagihan semester 4",aplikasi makin aneh mau bayar lewat mandiri pun gak bisa pass di tf muncul tulisan maaf rekening ini tidak di temukan trus satu lagi kok tagihan spp jadi doubel padahal pas liat beberapa hari yang lalu gak gitu kalo satunya buat semseter  sangat tidak logis baru aja masuk semseter  masa udah ada tagihan semester,"['aplikasi', 'makin', 'aneh', 'mau', 'bayar', 'lewat', 'mandiri', 'gak', 'pass', 'tf', 'muncul', 'tulis', 'maaf', 'rekening', 'temu', 'trus', 'satu', 'kok', 'tagih', 'spp', 'jadi', 'doubel', 'padahal', 'pas', 'liat', 'beberapa', 'hari', 'lalu', 'gak', 'gitu', 'kalo', 'satu', 'buat', 'semseter', 'sangat', 'logis', 'baru', 'aja', 'masuk', 'semseter', 'masa', 'udah', 'tagih', 'semester']",-6,negative
"Mau login pake siakad tapi gak bisa, malah disuruh masukin email(?)",mau login pake siakad tapi gak bisa malah disuruh masukin email,"['mau', 'login', 'pake', 'siakad', 'gak', 'malah', 'suruh', 'masukin', 'email']",2,positive
Aku udah nerima kode Verifikasi berkali² tapi ttp nggak bisa dasar error,aku udah nerima kode verifikasi berkali² tapi ttp nggak bisa dasar error,"['aku', 'udah', 'nerima', 'kode', 'verifikasi', 'kali', 'ttp', 'dasar', 'error']",-7,negative
tolong saya mau upload tugas malah tidak ada portalnya adahal teman-teman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini,tolong saya mau upload tugas malah tidak ada portalnya adahal temanteman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini,"['mau', 'upload', 'tugas', 'malah', 'portal', 'adahal', 'temanteman', 'yg', 'error', 'sama', 'sekali', 'hari', 'deadline', 'kirim', 'email', 'respon', 'bagaimana']",4,positive
Apk tidak bisa di pakai tidak ada notifikasi tugas,apk tidak bisa di pakai tidak ada notifikasi tugas,"['apk', 'pakai', 'notifikasi', 'tugas']",-1,negative
Ini kenapa sih nggak bisa menggabungkan dengan akun Perguruan tinggi,ini kenapa sih nggak bisa menggabungkan dengan akun perguruan tinggi,"['sih', 'gabung', 'akun', 'guru', 'tinggi']",-1,negative
Siang ka. Knapa di hp saya edlink nya tidak bisa di install. Sedangkan aplikasi yang lebih besar dari edlink bisa? Terimakasih.,siang ka knapa di hp saya edlink nya tidak bisa di install sedangkan aplikasi yang lebih besar dari edlink bisa terimakasih,"['siang', 'ka', 'knapa', 'hp', 'edlink', 'nya', 'install', 'aplikasi', 'lebih', 'besar', 'edlink', 'terimakasih']",4,positive
Tak bisa login padahal username dan pw sudah benar,tak bisa login padahal username dan pw sudah benar,"['tak', 'login', 'padahal', 'username', 'pw', 'benar']",-2,negative
"NOTIF GETAR AMPAS, UDAH DI MATIIN TAPI TETEP GETAR. SAMPAH",notif getar ampas udah di matiin tapi tetep getar sampah,"['notif', 'getar', 'ampas', 'udah', 'matiin', 'tetep', 'getar', 'sampah']",-13,negative
"Kenapa edlink sering sekali keluar otomatis, sampai sampai ingin masukan kata sandi, tidak bisa, padahal kata sandinya sudah benar, tolong dongggggg",kenapa edlink sering sekali keluar otomatis sampai sampai ingin masukan kata sandi tidak bisa padahal kata sandinya sudah benar tolong dongggggg,"['edlink', 'sering', 'sekali', 'keluar', 'otomatis', 'masuk', 'kata', 'sandi', 'padahal', 'kata', 'sandi', 'benar', 'dongggggg']",-5,negative
"Setelah edlink di update, saya coba login dengan akun saya tapi tidak bisa, mohon arahannya kenapa bisa seperti ini??? Padahal banyak data-data penting yang mau saya ambil🙏🏻🙏🏻🙏🏻 terus kemudian edlinknya malah tidak muncul di layar utama HP🙏🏻🙏🏻🙏🏻",setelah edlink di update saya coba login dengan akun saya tapi tidak bisa mohon arahannya kenapa bisa seperti ini padahal banyak datadata penting yang mau saya ambil terus kemudian edlinknya malah tidak muncul di layar utama hp,"['edlink', 'update', 'coba', 'login', 'akun', 'mohon', 'arah', 'padahal', 'banyak', 'datadata', 'penting', 'mau', 'ambil', 'terus', 'kemudian', 'edlinknya', 'malah', 'muncul', 'layar', 'utama', 'hp']",-6,negative
Pengen serius kuliah malah aplikasi ngebug. Menghambat bikin malas. Tolong banget bikin menghambat banget. Tolong segera perbaiki.,pengen serius kuliah malah aplikasi ngebug menghambat bikin malas tolong banget bikin menghambat banget tolong segera perbaiki,"['ken', 'serius', 'kuliah', 'malah', 'aplikasi', 'ngebug', 'hambat', 'bikin', 'malas', 'banget', 'bikin', 'hambat', 'banget', 'segera', 'baik']",-17,negative
So,so,['so'],0,negative
"T tak tu tu ttp td tau rt5tzx tu yg tau dss di, dunia z dr dr d CD d",t tak tu tu ttp td tau rttzx tu yg tau dss di dunia z dr dr d cd d,"['t', 'tak', 'tu', 'tu', 'ttp', 'td', 'tau', 'rttzx', 'tu', 'yg', 'tau', 'dss', 'dunia', 'z', 'dr', 'dr', 'd', 'cd', 'd']",-9,negative
"Sangat bagus dan bermanfaat sekali bagi saya, terimakasih 🙏",sangat bagus dan bermanfaat sekali bagi saya terimakasih,"['sangat', 'bagus', 'manfaat', 'sekali', 'terimakasih']",5,positive
Saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian,saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian,"['sangat', 'rasa', 'bantu', 'ada', 'aplikasi', 'edlink', 'mudah', 'tahu', 'nilai', 'mata', 'kuliah', 'serta', 'hasil', 'uji']",3,positive
Sudah lumayan baik,sudah lumayan baik,"['lumayan', 'baik']",1,positive
Bagus. Sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'bantu']",-5,negative
Kok di edlink nilai aku yg semester ini malah kecampur sama Nilai semester kmren ya,kok di edlink nilai aku yg semester ini malah kecampur sama nilai semester kmren ya,"['kok', 'edlink', 'nilai', 'aku', 'yg', 'semester', 'malah', 'campur', 'sama', 'nilai', 'semester', 'kmren']",19,positive
Kenapa saya tidak bisa login padahal Nim sama password saya sudah benar,kenapa saya tidak bisa login padahal nim sama password saya sudah benar,"['login', 'padahal', 'nim', 'sama', 'password', 'benar']",1,positive
Susah nginstalnya,susah nginstalnya,"['susah', 'nginstalnya']",-3,negative
Masa aku udah bayar ukt tpi statusnya belum bayar. Kan jadi ga bisa ngisi KRS,masa aku udah bayar ukt tpi statusnya belum bayar kan jadi ga bisa ngisi krs,"['masa', 'aku', 'udah', 'bayar', 'ukt', 'tpi', 'status', 'bayar', 'kan', 'jadi', 'ga', 'ngisi', 'krs']",-4,negative
Ini kenapa yah setiap saya mau login koneksi server bermasalah terus?,ini kenapa yah setiap saya mau login koneksi server bermasalah terus,"['yah', 'mau', 'login', 'koneksi', 'server', 'masalah', 'terus']",-2,negative
Belom bisa pake paylater,belom bisa pake paylater,"['bom', 'pake', 'paylater']",0,negative
"Saya kasih bintang 1 apa"" an kaya gini saya yg tidak bisa ngerjain tugas karena edlink saya engga mau ke buka Nim saya pasword saya udh betul ko keterangan nya malah di suruh cek ulang sudah saya coba masuk lagi hasilnya tetap sama tolong diperbaiki lagi dong kalo begini terganggu tugas kuliah yang mau saya kerjakan",saya kasih bintang  apa an kaya gini saya yg tidak bisa ngerjain tugas karena edlink saya engga mau ke buka nim saya pasword saya udh betul ko keterangan nya malah di suruh cek ulang sudah saya coba masuk lagi hasilnya tetap sama tolong diperbaiki lagi dong kalo begini terganggu tugas kuliah yang mau saya kerjakan,"['kasih', 'bintang', 'apa', 'an', 'kaya', 'gin', 'yg', 'ngerjain', 'tugas', 'edlink', 'engga', 'mau', 'buka', 'nim', 'pasword', 'udh', 'betul', 'ko', 'terang', 'nya', 'malah', 'suruh', 'cek', 'ulang', 'coba', 'masuk', 'hasil', 'tetap', 'sama', 'baik', 'dong', 'kalo', 'begini', 'ganggu', 'tugas', 'kuliah', 'mau', 'kerja']",-2,negative
"Ngapa dah kampus gue kerjasama sama ini aplikasi nyusahin doang sistemnya belum siap datanya gak cocok mau bayar ukt ribet banget, aplikasi nyusahin",ngapa dah kampus gue kerjasama sama ini aplikasi nyusahin doang sistemnya belum siap datanya gak cocok mau bayar ukt ribet banget aplikasi nyusahin,"['ngapa', 'dah', 'kampus', 'gue', 'kerjasama', 'sama', 'aplikasi', 'nyusahin', 'doang', 'sistem', 'siap', 'data', 'gak', 'cocok', 'mau', 'bayar', 'ukt', 'ribet', 'banget', 'aplikasi', 'nyusahin']",-11,negative
"Semenjak di Update beberapa Minggu lalu, kok Pas buka edlink yg muncul bukan Nilai D4 saat ini, tp yg muncul Nilai D3 beberpa tahun lalu, itupun hnya sebagian yg muncul",semenjak di update beberapa minggu lalu kok pas buka edlink yg muncul bukan nilai d saat ini tp yg muncul nilai d beberpa tahun lalu itupun hnya sebagian yg muncul,"['semenjak', 'update', 'beberapa', 'minggu', 'lalu', 'kok', 'pas', 'buka', 'edlink', 'yg', 'muncul', 'bukan', 'nilai', 'd', 'tp', 'yg', 'muncul', 'nilai', 'd', 'beberpa', 'tahun', 'lalu', 'itu', 'hnya', 'bagi', 'yg', 'muncul']",6,positive
"Makin kesini makin gjls,mending download epep",makin kesini makin gjlsmending download epep,"['makin', 'kesini', 'makin', 'gjlsmending', 'download', 'epep']",4,positive
Sangat bagus sekali 🥰👌,sangat bagus sekali 🥰,"['sangat', 'bagus', 'sekali', '']",-5,negative
